"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","60","34.7","37.3","14.6","715","0.856","1035","0.583","181","0.343","0.572","0.655","33.4","10.2","4.2","1.1","1.7","3.5","43.6","37.6","47.8","13","124.5","103.2"
"2","Luka Doncic","Dal","F-G","24.1","59","36.4","38.2","14.3","649","0.735","835","0.587","472","0.343","0.561","0.61","32.9","8.6","8.2","1.4","0.5","3.7","41.5","41.1","49.7","14.5","120.1","108.7"
"3","Damian Lillard","Por","G","32.7","58","36.3","33.9","13.7","558","0.914","544","0.574","658","0.371","0.564","0.645","32.2","4.8","7.3","0.9","0.3","3.3","36.9","39.5","44.3","11.5","127","116.8"
"4","Shai Gilgeous-Alexander","Okc","G-F","24.7","63","35.5","32.9","12.4","671","0.905","1128","0.532","156","0.353","0.532","0.624","31.3","4.8","5.5","1.7","1","2.9","36.1","36.8","41.6","10.6","124.4","109.7"
"5","Giannis Antetokounmpo","Mil","F","28.3","58","32.2","38.7","16.1","718","0.646","1017","0.59","162","0.29","0.569","0.604","31.1","11.8","5.6","0.7","0.8","3.9","42.9","36.7","48.5","15.8","116.9","99.4"
"6","Jayson Tatum","Bos","F-G","25.1","69","37.3","32.9","12.2","585","0.853","825","0.552","648","0.344","0.536","0.6","30.1","8.9","4.7","1","0.7","3","39","34.8","43.7","11.6","117.4","107.4"
"7","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.4","110.8"
"8","Stephen Curry","Gol","G","35","49","34.8","30.9","14.2","254","0.913","426","0.592","556","0.428","0.62","0.663","29.6","6.2","6.3","0.9","0.3","3.3","35.8","35.9","42.1","12.1","123.4","112.1"
"9","LeBron James","Lal","F","38.2","47","36.1","33.3","12.2","295","0.759","735","0.588","325","0.308","0.549","0.583","29.5","8.4","6.9","0.9","0.6","3.1","38","36.5","44.9","13.2","115","110.1"
"10","Devin Booker","Pho","G","26.4","46","34.6","32","11.3","297","0.842","672","0.557","273","0.366","0.554","0.603","28.2","4.6","5.5","0.9","0.3","2.6","32.8","33.7","38.3","10.3","119.4","109.5"
"11","Kyrie Irving","Dal","G","31","14","37.6","28.8","9.6","72","0.931","161","0.584","113","0.389","0.584","0.633","27.6","5.4","6.1","1.1","0.5","2.1","33","33.8","39.1","10.3","127.2","111.4"
"12","Donovan Mitchell","Cle","G","26.5","63","35.5","31.9","11.4","331","0.867","695","0.56","587","0.378","0.563","0.606","27.5","4.2","4.5","1.5","0.4","2.6","31.7","32","36.2","9.1","117.8","107"
"13","Kyrie Irving","Bro","G","31","40","36.9","29.7","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118","111.7"
"14","Trae Young","Atl","G","24.5","66","34.8","33.2","17.3","572","0.886","859","0.478","431","0.341","0.49","0.574","26.8","3.1","10","1.1","0.1","4.1","29.9","36.8","39.9","10.8","116.4","117.1"
"15","Jaylen Brown","Bos","G-F","26.4","62","36.1","31.2","12.4","333","0.772","813","0.572","454","0.346","0.553","0.586","26.7","6.9","3.4","1.1","0.4","2.9","33.6","30.1","37","9.5","110.9","106.8"
"16","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","111.3"
"17","Ja Morant","Mem","G","23.6","55","32.1","35.3","14.1","460","0.746","846","0.514","273","0.315","0.504","0.557","26.7","5.9","8.1","1.1","0.3","3.3","32.6","34.9","40.8","13.5","114.9","109.2"
"18","Anthony Davis","Lal","F-C","30","48","33.8","28.9","11.7","377","0.79","763","0.59","69","0.261","0.573","0.627","26.1","12.5","2.5","1","2","2.3","38.6","28.6","41.1","11.1","123.5","104.5"
"19","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.3","108.4"
