,#,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
1,4.0,Steven Adams,C,6-11,265.0,29,Memphis Grizzlies,9,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
2,13.0,Bam Adebayo,C,6-10,255.0,25,Miami Heat,5,Kentucky,2017 Rnd 1 Pick 14,United States
7,31.0,Jarrett Allen,C,6-11,248.0,24,Cleveland Cavaliers,5,Texas,2017 Rnd 1 Pick 22,United States
9,5.0,Kyle Anderson,PF,6-9,230.0,29,Minnesota Timberwolves,8,UCLA,2014 Rnd 1 Pick 30,United States
10,34.0,Giannis Antetokounmpo,F,6-11,242.0,28,Milwaukee Bucks,9,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria
13,3.0,OG Anunoby,SF,6-7,240.0,25,Toronto Raptors,5,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States
14,51.0,Ryan Arcidiacono,G,6-3,195.0,29,Portland Trail Blazers,5,Villanova,"2016 NBA Draft, Undrafted",United States
15,14.0,D.J. Augustin,G,6-0,183.0,35,Houston Rockets,14,Texas,2008 Rnd 1 Pick 9,United States
23,2.0,Lonzo Ball,PG,6-6,190.0,25,Chicago Bulls,5,UCLA,2017 Rnd 1 Pick 2,United States
29,40.0,Harrison Barnes,SF,6-8,225.0,30,Sacramento Kings,10,North Carolina,2012 Rnd 1 Pick 7,United States
32,1.0,Will Barton,GF,6-5,181.0,32,Toronto Raptors,10,Memphis,2012 Rnd 2 Pick 10,United States
35,33.0,Nicolas Batum,F,6-8,230.0,34,Los Angeles Clippers,14,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
37,3.0,Bradley Beal,SG,6-3,207.0,29,Washington Wizards,10,Florida,2012 Rnd 1 Pick 3,United States
38,5.0,Malik Beasley,SG,6-4,187.0,26,Los Angeles Lakers,6,Florida State,2016 Rnd 1 Pick 19,United States
40,44.0,Davis Bertans,SF,6-10,225.0,30,Dallas Mavericks,6,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
41,21.0,Patrick Beverley,PG,6-1,180.0,34,Chicago Bulls,10,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
43,92.0,Khem Birch,PF,6-8,226.0,30,San Antonio Spurs,5,UNLV,"2014 NBA Draft, Undrafted",Canada
45,18.0,Bismack Biyombo,PF,6-9,255.0,30,Phoenix Suns,11,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
47,13.0,Bogdan Bogdanovic,SG,6-6,220.0,30,Atlanta Hawks,5,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
48,44.0,Bojan Bogdanovic,F,6-8,216.0,33,Detroit Pistons,8,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and HerzegovinaCroatia
50,1.0,Devin Booker,SG,6-6,206.0,26,Phoenix Suns,7,Kentucky,2015 Rnd 1 Pick 13,United States
52,25.0,Chris Boucher,PF,6-9,198.0,30,Toronto Raptors,5,Oregon,"2017 NBA Draft, Undrafted",Saint LuciaCanada
58,13.0,Malcolm Brogdon,SG,6-5,229.0,30,Boston Celtics,6,Virginia,2016 Rnd 2 Pick 6,United States
59,24.0,Dillon Brooks,F,6-6,220.0,27,Memphis Grizzlies,5,Oregon,2017 Rnd 2 Pick 15,Canada
60,7.0,Jaylen Brown,SF,6-6,220.0,26,Boston Celtics,6,California,2016 Rnd 1 Pick 3,United States
66,13.0,Thomas Bryant,C,6-10,248.0,25,Denver Nuggets,5,Indiana,2017 Rnd 2 Pick 12,United States
67,25.0,Reggie Bullock,SG,6-6,205.0,32,Dallas Mavericks,9,North Carolina,2013 Rnd 1 Pick 25,United States
68,5.0,Alec Burks,SG,6-6,214.0,31,Detroit Pistons,11,Colorado,2011 Rnd 1 Pick 12,United States
70,22.0,Jimmy Butler,GF,6-8,232.0,33,Miami Heat,11,Marquette,2011 Rnd 1 Pick 30,United States
73,5.0,Kentavious Caldwell-Pope,SG,6-5,204.0,30,Denver Nuggets,9,Georgia,2013 Rnd 1 Pick 8,United States
75,15.0,Clint Capela,PF,6-10,240.0,28,Atlanta Hawks,8,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
78,11.0,Michael Carter-Williams,PG,6-6,195.0,31,Orlando Magic,9,Syracuse,2013 Rnd 1 Pick 11,United States
79,6.0,Alex Caruso,G,6-5,186.0,29,Chicago Bulls,5,Texas A&M,"2016 NBA Draft, Undrafted",United States
85,0.0,Jordan Clarkson,G,6-5,192.0,30,Utah Jazz,8,Missouri,2014 Rnd 2 Pick 16,United StatesPhilippines
88,20.0,John Collins,PF,6-9,235.0,25,Atlanta Hawks,5,Wake Forest,2017 Rnd 1 Pick 19,United States
89,23.0,Zach Collins,C,6-11,250.0,25,San Antonio Spurs,5,Gonzaga,2017 Rnd 1 Pick 10,United States
90,10.0,Mike Conley,PG,6-1,175.0,35,Minnesota Timberwolves,15,Ohio State,2007 Rnd 1 Pick 4,United States
91,24.0,Pat Connaughton,SF,6-4,209.0,30,Milwaukee Bucks,7,Notre Dame,2015 Rnd 2 Pick 11,United States
93,23.0,Robert Covington,F,6-7,209.0,32,Los Angeles Clippers,9,Tennessee State,"2013 NBA Draft, Undrafted",United States
94,12.0,Torrey Craig,GF,6-7,221.0,32,Phoenix Suns,5,USC Upstate,"2014 NBA Draft, Undrafted",United States
95,99.0,Jae Crowder,SF,6-6,235.0,32,Milwaukee Bucks,10,Marquette,2012 Rnd 2 Pick 4,United States
97,30.0,Seth Curry,G,6-1,190.0,32,Brooklyn Nets,9,Duke,"2013 NBA Draft, Undrafted",United States
98,30.0,Stephen Curry,G,6-3,198.0,35,Golden State Warriors,13,Davidson,2009 Rnd 1 Pick 7,United States
100,3.0,Anthony Davis,PF,6-10,253.0,30,Los Angeles Lakers,10,Kentucky,2012 Rnd 1 Pick 1,United States
105,11.0,DeMar DeRozan,GF,6-6,220.0,33,Chicago Bulls,13,USC,2009 Rnd 1 Pick 9,United States
106,14.0,Dewayne Dedmon,PF,7-0,245.0,33,Philadelphia Sixers,9,USC,"2013 NBA Draft, Undrafted",United States
107,8.0,Matt Dellavedova,G,6-3,200.0,32,Sacramento Kings,8,Saint Mary's,"2013 NBA Draft, Undrafted",Australia
112,41.0,Gorgui Dieng,FC,6-10,250.0,33,San Antonio Spurs,9,Louisville,2013 Rnd 1 Pick 21,Senegal
114,26.0,Spencer Dinwiddie,PG,6-5,215.0,29,Brooklyn Nets,8,Colorado,2014 Rnd 2 Pick 8,United States
