iter	RMSE
0	10.48240007
1	10.40627363
2	10.31934966
3	10.23765726
4	10.15258683
5	10.08874523
6	10.00624665
7	9.929150979
8	9.858538191
9	9.782689246
10	9.709589743
11	9.641678397
12	9.573571928
13	9.509441943
14	9.446650523
15	9.383211417
16	9.32397631
17	9.267360529
18	9.211262097
19	9.156642489
20	9.103238218
21	9.049904922
22	8.999927827
23	8.949982014
24	8.90144471
25	8.854114158
26	8.810583884
27	8.768261573
28	8.725997801
29	8.687041719
30	8.648141676
31	8.607463641
32	8.568959704
33	8.534663883
34	8.501963847
35	8.471607721
36	8.438622424
37	8.408747045
38	8.379292234
39	8.346758098
40	8.315686959
41	8.289221261
42	8.263317688
43	8.23443917
44	8.209057097
45	8.184048068
46	8.160716496
47	8.137800799
48	8.115135635
49	8.093635028
50	8.072123636
51	8.053348461
52	8.034311134
53	8.016857817
54	8.002936251
55	7.981587086
56	7.962512822
57	7.944997744
58	7.92884449
59	7.915193731
60	7.899818091
61	7.884301534
62	7.867451588
63	7.853666007
64	7.840852766
65	7.827988839
66	7.815038321
67	7.802320935
68	7.789553702
69	7.777260156
70	7.765156639
71	7.752618232
72	7.74209668
73	7.732203114
74	7.721196713
75	7.710156385
76	7.698446766
77	7.689698944
78	7.678377727
79	7.668686897
80	7.659151343
81	7.649258074
82	7.640408077
83	7.63035072
84	7.62179909
85	7.613351898
86	7.604159122
87	7.59563605
88	7.585080271
89	7.579272224
90	7.56929183
91	7.55895813
92	7.551510326
93	7.54380869
94	7.534789053
95	7.527346495
96	7.518785924
97	7.51269166
98	7.506787362
99	7.499456135
100	7.493897101
101	7.486333807
102	7.481852808
103	7.475628678
104	7.471167314
105	7.464642855
106	7.459679345
107	7.455063077
108	7.451112721
109	7.446341012
110	7.439874094
111	7.433971755
112	7.42968349
113	7.424386026
114	7.419381134
115	7.415991411
116	7.413144003
117	7.40752478
118	7.402060929
119	7.396060421
120	7.392918408
121	7.390252681
122	7.38599271
123	7.382612561
124	7.378979551
125	7.376404412
126	7.374321934
127	7.369642618
128	7.365298447
129	7.362733677
130	7.357768815
131	7.353855689
132	7.350924808
133	7.347973942
134	7.345519951
135	7.341602612
136	7.338662558
137	7.336721633
138	7.334608813
139	7.332037052
140	7.327983752
141	7.325755374
142	7.322869285
143	7.319890624
144	7.315228525
145	7.313062086
146	7.310329104
147	7.308077038
148	7.302715408
149	7.300877551
150	7.298276827
151	7.29633372
152	7.293534765
153	7.291029571
154	7.287365232
155	7.284474697
156	7.282868533
157	7.279000699
158	7.277477202
159	7.275498186
160	7.271380161
161	7.268085708
162	7.266410058
163	7.264863655
164	7.263471558
165	7.261089229
166	7.258998498
167	7.25528027
168	7.253685009
169	7.252018664
170	7.2504045
171	7.248927036
172	7.247182157
173	7.244554192
174	7.241240334
175	7.235998693
176	7.234032516
177	7.230980001
178	7.229249847
179	7.227328806
180	7.224002404
181	7.22000737
182	7.218549505
183	7.216837017
184	7.215935494
185	7.212932201
186	7.211492373
187	7.209686213
188	7.208084869
189	7.207079015
190	7.205663501
191	7.203997191
192	7.202919975
193	7.201316628
194	7.20009975
195	7.19917006
196	7.197686757
197	7.196404991
198	7.196046246
199	7.194610709
200	7.193233288
201	7.192480039
202	7.191503338
203	7.190061049
204	7.189129217
205	7.187875022
206	7.185740266
207	7.182727051
208	7.180519526
