iter	Passed	Remaining
0	6	6794
1	11	5893
2	17	5667
3	22	5654
4	26	5223
5	31	5208
6	35	5047
7	39	4881
8	42	4664
9	46	4624
10	50	4575
11	54	4459
12	58	4451
13	63	4459
14	67	4402
15	71	4389
16	76	4422
17	81	4463
18	86	4482
19	90	4449
20	94	4416
21	99	4416
22	103	4385
23	107	4386
24	111	4349
25	114	4305
26	118	4272
27	122	4246
28	126	4224
29	129	4185
30	132	4154
31	137	4158
32	141	4148
33	146	4170
34	151	4174
35	154	4144
36	159	4140
37	162	4109
38	166	4104
39	171	4105
40	175	4114
41	178	4082
42	183	4083
43	187	4082
44	191	4059
45	194	4040
46	199	4047
47	203	4043
48	207	4023
49	212	4035
50	215	4017
51	219	4008
52	223	3994
53	227	3984
54	232	3987
55	236	3989
56	239	3969
57	244	3969
58	248	3965
59	253	3965
60	257	3970
61	263	3981
62	268	3989
63	272	3990
64	277	3988
65	281	3987
66	286	3992
67	290	3981
68	295	3985
69	298	3970
70	303	3972
71	308	3975
72	313	3977
73	317	3975
74	321	3966
75	325	3960
76	331	3968
77	335	3962
78	341	3981
79	344	3966
80	350	3978
81	354	3965
82	359	3967
83	364	3979
84	368	3971
85	374	3980
86	379	3983
87	384	3985
88	388	3977
89	392	3968
90	395	3952
91	400	3949
92	404	3943
93	407	3925
94	411	3918
95	415	3909
96	418	3895
97	421	3883
98	425	3872
99	429	3867
100	433	3861
101	437	3851
102	440	3836
103	444	3832
104	448	3823
105	451	3808
106	455	3800
107	458	3790
108	461	3774
109	465	3764
110	468	3749
111	472	3745
112	476	3738
113	481	3742
114	501	3857
115	505	3851
116	511	3863
117	515	3856
118	521	3864
119	526	3861
120	530	3854
121	533	3841
122	537	3834
123	542	3829
124	545	3820
125	549	3811
126	552	3797
127	555	3787
128	559	3775
129	563	3772
130	568	3773
131	573	3769
132	576	3758
133	581	3755
134	584	3743
135	588	3735
136	591	3728
137	595	3721
138	599	3711
139	603	3707
140	607	3701
141	611	3692
142	614	3681
143	618	3674
144	622	3669
145	627	3668
146	630	3658
147	634	3655
148	637	3640
149	641	3637
150	645	3630
151	649	3621
152	652	3614
153	656	3605
154	660	3602
155	664	3595
156	668	3591
157	671	3579
158	675	3570
159	679	3566
160	683	3563
161	688	3559
162	692	3558
163	697	3554
164	702	3553
165	707	3554
166	712	3551
167	717	3550
168	720	3542
169	724	3538
170	728	3533
171	732	3528
172	737	3525
173	741	3521
174	746	3521
175	752	3523
176	756	3516
177	760	3513
178	764	3505
179	769	3503
180	774	3504
181	779	3503
182	784	3503
183	789	3499
184	795	3506
185	801	3507
